timeStamp,rawData
3483880,149
3485268,149
3486656,149
3488044,149
3489432,149
3490820,149
3492208,149
3493596,149
3494984,149
3496372,149
3497760,149
3499148,149
3500536,149
3501924,149
3503312,149
3504700,149
3506099,149
3507476,149
3508864,149
3510252,148
3511640,149
3513028,149
3514416,149
3515804,149
3517192,149
3518580,149
3519968,149
3521356,149
3522744,149
3524158,149
3525520,149
3526908,149
3528296,149
3529684,148
3531083,148
3532463,148
3533890,148
3535236,148
3536624,149
3538012,149
3539400,148
3540788,148
3542176,149
3543564,149
3544952,148
3546340,149
3547728,149
3549116,149
3550504,149
3551892,149
3553280,149
3554668,149
3556908,149
3557444,149
3558832,149
3560220,149
3561608,149
3562996,149
3564384,149
3565772,149
3567160,149
3568548,149
3569936,149
3571324,149
3572712,149
3574100,149
3575488,149
3576876,149
3578264,149
3579652,149
3581059,149
3582428,149
3583816,149
3585204,149
3588130,149
3588343,149
3589487,149
3590760,149
3592141,149
3593532,149
3594920,148
3596308,149
3597696,149
3599084,149
3600472,149
3601857,149
3603248,149
3604636,149
3606063,149
3607412,149
3608800,149
3610188,149
3611576,149
3612964,149
3614352,149
3615740,149
3617128,149
3618516,149
3619904,149
3621292,149
3622680,149
3624068,149
3625456,149
3626871,149
3628232,149
3629620,149
3631017,149
3632396,149
3633787,149
3635214,149
3636557,149
3637948,149
3639333,149
3640724,149
3642112,149
3643500,149
3644888,149
3646276,149
3647661,148
3649052,149
3650437,149
3651828,149
3653213,149
3654604,149
3656084,149
3657380,149
3658765,149
3660156,149
3661544,149
3662932,149
3664320,149
3665708,149
3667096,149
3668484,149
3669872,149
3671260,148
3672645,149
3674036,149
3675424,149
3676812,149
3678200,149
3679588,149
3681022,149
3682364,149
3683752,149
3685140,149
3686528,148
3687916,149
3689304,148
3690692,149
3692077,149
3693468,149
3694856,149
3696244,149
3697632,149
3699020,149
3700408,149
3701796,149
3703184,149
3704572,149
3705971,149
3707348,149
3709629,149
3710124,149
3711512,149
3712900,149
3714288,149
3715676,149
3717064,149
3718452,149
3719840,149
3721228,149
3722616,149
3724004,149
3725392,149
3726780,149
3728168,149
3729674,149
3731093,149
3732336,149
3733720,149
3735110,149
3736538,149
3737884,149
3739272,149
3741849,149
3742049,149
3743496,149
3744828,149
3746212,149
3747600,149
3748988,149
3750376,149
3751764,149
3753149,149
3754540,149
3755959,149
3757316,149
3758704,149
3760092,149
3761480,149
3762868,149
3764256,149
3765644,149
3767032,149
3768427,149
3769808,149
3771196,149
3772584,149
3773972,149
3775360,149
3776748,149
3778136,149
3779524,149
3780978,149
3782300,149
3783685,149
3785076,149
3786464,149
3787852,149
3789240,150
3790628,150
3792016,150
3793404,149
3794792,149
3796180,149
3797568,150
3798956,149
3800344,149
3801732,149
3803120,149
3804508,149
3805908,149
3807284,149
3808672,149
3810060,149
3811448,149
3812836,149
3814224,149
3815612,149
3816997,149
3818388,149
3819776,149
3821164,149
3822552,149
3823940,149
3825328,149
3826716,149
3828101,149
3829492,149
3830891,149
3832298,149
3833656,149
3835044,149
3836434,149
3837860,149
3839208,149
3840596,149
3841984,149
3843372,149
3844760,149
3846148,149
3847536,149
3848924,149
3850312,149
3851700,149
3853088,149
3854476,149
3855873,149
3857252,149
3858640,149
3860028,149
3861416,149
3863630,149
3864192,149
3865580,149
3866968,149
3868356,149
3869744,149
3871132,149
3872520,149
3873908,149
3875296,149
3876684,149
3878072,149
3879460,148
3880909,149
3882236,148
3883624,149
3885012,149
3886400,148
